country,id,name
SEHK,390,China Railway Group Limited
SEHK,391,Mei Ah Entertainment Group Ltd.
SEHK,392,Beijing Enterprises
SEHK,393,Glorious Sun Enterprises Ltd.
SEHK,395,China Zirconium Limited
SEHK,402,Ming Hing Holdings Limited
SEHK,403,Starlite Holdings Ltd.
SEHK,404,Hsin Chong Construction Group Ltd.
SEHK,405,GZI Real Estate Investment Trust
SEHK,406,Yau Lee Holdings Ltd.
SEHK,408,Yip's Chemical Holdings Ltd.
SEHK,409,Stone Group Holdings Limited
SEHK,410,SOHO China Limited
SEHK,411,Lam Soon (Hong Kong) Ltd.
SEHK,416,GST Holdings Limited
SEHK,418,Founder (Hong Kong) Ltd.
SEHK,419,AsianUnion New Media (Group) Limited
SEHK,420,Fountain Set (Holdings) Limited
SEHK,422,Vietnam Manufacturing & Export Processing (Holdings) Limited
SEHK,423,Hong Kong Economic Times Holdings Limited
SEHK,425,Minth Group Limited
SEHK,426,One Media Group Limited
SEHK,431,Greater China Holdings Limited
SEHK,435,Sunlight Real Estate Investment Trust
SEHK,439,Kuangchi Science Limited
SEHK,440,Dah Sing Financial Holdings Ltd
SEHK,450,Hung Hing Printing Group Ltd.
SEHK,464,Kenford Group Holdings Limited
SEHK,475,Noble Jewelry Holdings Limited
SEHK,480,HKR International
SEHK,482,Sandmartin International Holdings Limited
SEHK,483,Bauhaus International (Holdings) Limited
SEHK,486,United Company RUSAL
SEHK,488,Lai Sun Development Company Limited
SEHK,489,Dongfeng Motor Group
SEHK,491,See Corporation Limited
SEHK,493,GOME Electrical Appliances
SEHK,494,Li & Fung (Trading) Limited
SEHK,496,Kasen International Holdings Limited
SEHK,498,PYI Corporation Limited
SEHK,500,DVN (Holdings) Ltd.
SEHK,505,Huan Yue Interactive Holdings Limited
SEHK,506,China Foods Limited
SEHK,508,Chevalier Pacific Holdings Limited
SEHK,511,Television Broadcasts Ltd.
SEHK,513,Continental Holdings Ltd.
SEHK,515,TC Interconnect Holdings Limited
SEHK,517,COSCO International Holdings
SEHK,518,Tungtex (Holdings) Company Ltd.
SEHK,521,Shougang Concord Technology Holdings Ltd.
SEHK,524,e-KONG Group Ltd.
SEHK,525,"Guangshen Railway Co., Ltd."
SEHK,527,Galaxy Semi-Conductor Holdings Limited
SEHK,530,Goldin Financial Holdings Ltd.
SEHK,532,Wong's Kong King Int'l (Holdings) Ltd.
SEHK,533,Goldlion Holdings Ltd.
SEHK,535,Frasers Property (China) Limited
SEHK,536,Tradelink Electronic Commerce Limited
SEHK,538,Ajisen (China) Holdings Limited
SEHK,543,Pacific Online Limited
SEHK,544,Daido Group Limited
SEHK,546,Fufeng Group
SEHK,547,Sun Innovation Holdings Limited
SEHK,548,Shenzhen Expressway Co. Ltd.
SEHK,550,Recurit Holdings Limited
SEHK,551,Yue Yuen Industrial Holdings
SEHK,552,China Communications Services Corporation Limited
SEHK,553,Panda Electronics
SEHK,555,REXCAPITAL Financial Holdings Limited
SEHK,558,L.K. Technology Holdings Limited
SEHK,559,Hua Yi Copper Holdings Limited
SEHK,560,Chu Kong Shipping Development Co Ltd.
SEHK,562,BALtrans Holdings Ltd.
SEHK,567,Daisho Microline Holdings Limited
SEHK,568,Shandong Molong Petroleum Machinery Company Limited
SEHK,569,China Automation Group Ltd.
SEHK,570,Wing Shan International Ltd.
SEHK,573,Tao Heung Holdings Ltd.
SEHK,575,Regent Pacific Group Limited
SEHK,576,Zhejiang Expressway Company
SEHK,579,Chevalier Construction Holdings Ltd.
SEHK,581,China Oriental Group Company Ltd.
SEHK,583,SCMP Group Limited
SEHK,585,Imagi International Holdings Limited
SEHK,587,Hua Han Bio-Pharmaceutical Holdings Limited
SEHK,588,Beijing North Star
SEHK,589,PORTS Design Ltd.
SEHK,590,Luk Fook Holdings (Int'l) Ltd.
SEHK,592,Bossini International Holdings
SEHK,593,Quality HealthCare Asia Ltd.
SEHK,595,AV Concept Holdings Ltd.
SEHK,598,Sinotrans
SEHK,599,E.Bon Holdings
SEHK,601,Group Sense (International) Limited
SEHK,603,China Oil and Gas Limited
SEHK,604,Shenzhen Investment
SEHK,605,K.P.I. Company Limited
SEHK,606,China Agri-Industries Holdings Limited
SEHK,607,Fullshare Holdings Limited
SEHK,608,High Fashion International Limited
SEHK,609,Tiande Chemical Holdings Limited
SEHK,610,Wai Kee Holdings Limited
SEHK,611,Tack Hsin Holdings Limited
SEHK,612,China Investment Fund Company Limited
SEHK,613,Yugang International Limited
SEHK,616,Easyknit Enterprises Holdings Limited
SEHK,617,Paliburg Holdings Limited
SEHK,618,Peking University Resources (Holdings)
SEHK,619,South China Financial Holdings Limited
SEHK,620,UDL Holdings Limited
SEHK,621,Wing Hing International (Holdings) Limited
SEHK,622,Enerchina Holdings Limited
SEHK,625,RREEF China Commercial Trust
SEHK,626,Public Financial Holdings Limited
SEHK,627,U-Right International
SEHK,628,Teem Foundation Group Limited
SEHK,629,Yue Da Holdings Limited
SEHK,630,Jackin International Holdings Limited
SEHK,632,Pearl Oriental Innovation Limited
SEHK,636,Fubon Bank (Hong Kong) Limited
SEHK,637,Lee Kee Holdings Limited
SEHK,638,Kin Yat Holdings Limited
SEHK,641,"CHTC Fong's Industries Co., Ltd."
SEHK,643,Carry Wealth Holdings Limited
SEHK,645,KTP Holdings Limited
SEHK,646,Yardway Group Limited
SEHK,647,Joyce Boutique Holdings Limited
SEHK,648,Softbank Investment International (Strategic) Limited
SEHK,650,Shun Cheong Holdings Limited
SEHK,651,Wonson International Holdings Limited
SEHK,653,Bonjour Holdings Limited
SEHK,655,Hongkong Chinese Limited
SEHK,656,Fosun International Limited
SEHK,657,G-Vision International (Holdings) Limited
SEHK,658,China High Speed Transmission
SEHK,659,NWS Holdings Limited
SEHK,660,Nority International Group Limited
SEHK,661,China National Resources Development Holdings Limited
SEHK,663,Swank International Manufacturing Company Limited
SEHK,665,Taifook Securities Group Limited
SEHK,666,Yu Ming Investments Limited
SEHK,667,HannStar Board International Holdings Limited
SEHK,668,Hong Kong Catering Management Limited
SEHK,669,Techtronic Industries Company Limited
SEHK,670,China Eastern Airlines Corporation Limited
SEHK,673,China HealthCare Holdings Limited
SEHK,674,United Power Investment Limited
SEHK,675,K & P International Holdings Limited
SEHK,677,Golden Resources Development International Limited
SEHK,678,Star Cruises Limited
